artist_name,track_name,Tempo,Cut Time Feel,Triple Meter,Compound Meter,Odd Meter,Swing Feel,Shuffle Feel,Syncopation Low to High,Backbeat,Danceability
zero 7,in the waiting line,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.6
josé gonzález,heartbeats,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.2
massive attack,angel,0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.6,0.2,0.4
bloc party,helicopter,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.6
amy winehouse,you know i'm no good,0.6,0.0,0.0,0.0,0.0,0.4,0.2,0.8,1.0,0.8
death cab for cutie,marching bands of manhattan,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.6,0.2
feist,mushaboom,0.4,0.0,0.0,0.0,0.0,0.6,0.4,0.6,0.6,0.6
muse,stockholm syndrome,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.0,0.4
the killers,jenny was a friend of mine,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.8,0.8
blur,song 2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.8
johnny cash,hurt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0
the knife,heartbeats,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.8,1.0
death cab for cutie,someday you will be loved,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.4
death cab for cutie,different names for the same thing,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.6,0.4
bloc party,like eating glass,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.0,0.8
dread zeppelin,stairway to heaven,0.4,0.6,0.0,0.0,0.0,0.2,0.0,0.8,0.2,0.8
the shins,caring is creepy,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.6
radiohead,let down,0.4,0.0,0.0,0.0,0.4,0.0,0.0,0.6,0.6,0.4
coldplay,in my place,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.8,0.4
pixies,where is my mind?,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.8,0.4
bloc party,this modern love,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.8,0.6
damien rice,the blower's daughter,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2
arcade fire,black mirror,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.6,0.4
the postal service,clark gable,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.8,0.8
ladytron,destroy everything you touch,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.0,1.0
arcade fire,neighborhood #4 (7 kettles),0.4,0.0,1.0,0.0,0.0,0.0,0.0,0.4,0.0,0.2
death cab for cutie,what sarah said,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.0
kaiser chiefs,i predict a riot,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.0,0.8
u2,with or without you,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.4
death cab for cutie,title and registration,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.4
amy winehouse,tears dry on their own,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.0,1.0
interpol,pda,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.8,0.6
the strokes,last nite,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.0,0.8
the postal service,brand new colony,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.8,0.6
the cure,boys don't cry,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.8,0.8
amy winehouse,back to black,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.0,0.6
muse,sing for absolution,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.6,0.2
arctic monkeys,the view from the afternoon,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.0,0.8
hot chip,over and over,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.8,1.0
the kooks,naïve,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.8,0.8
tool,vicarious,0.6,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.2,0.2
peter bjorn and john,young folks,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.8,0.8
arctic monkeys,dancing shoes,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.8,0.8
coldplay,trouble,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.2
arctic monkeys,fluorescent adolescent,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.8,0.8
radiohead,airbag,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.6,0.4
the smiths,there is a light that never goes out,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.6,0.4
klaxons,atlantis to interzone,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.0,0.8
klaxons,gravity's rainbow,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.0,0.8
joy division,transmission,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.8,1.0
damien rice,cannonball,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2
regina spektor,samson,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2
pink floyd,comfortably numb,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.6,0.2
air,kelly watch the stars,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.8,0.8
muse,knights of cydonia,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.8,0.6
radiohead,lucky,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.2
portishead,roads,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4,0.2,0.2
the goo goo dolls,iris,0.4,0.0,0.2,1.0,0.0,0.2,0.2,0.4,0.4,0.4
the killers,on top,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.8,0.8
the shins,australia,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.8,0.8
the postal service,recycled air,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.6,0.4
radiohead,street spirit (fade out),0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2
interpol,narc,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.8,0.6
tool,the pot,0.4,0.2,0.0,0.0,0.4,0.0,0.0,0.8,0.4,0.4
the kooks,she moves in her own way,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.8,0.8
the clash,london calling,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.8,0.8
kaiser chiefs,everyday i love you less and less,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.0,0.8
elliott smith,between the bars,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2
sufjan stevens,chicago,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.6,0.6
air,cherry blossom girl,0.4,0.0,0.0,0.0,0.0,0.2,0.0,0.4,0.4,0.6
sigur rós,sæglópur,0.4,0.0,0.6,1.0,0.0,0.0,0.0,0.4,0.2,0.2
death cab for cutie,brothers on a hotel bed,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.2
neutral milk hotel,in the aeroplane over the sea,0.6,0.0,1.0,0.0,0.0,0.0,0.0,0.4,0.0,0.4
muse,butterflies and hurricanes,0.6,0.2,0.0,0.2,0.0,0.0,0.0,0.6,0.8,0.4
arcade fire,neon bible,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2
air,la femme d'argent,0.4,0.0,0.0,0.0,0.0,0.2,0.0,0.6,0.4,0.6
portishead,sour times,0.2,0.2,0.0,0.0,0.0,0.2,0.0,0.4,0.8,0.4
radiohead,everything in its right place,0.4,0.0,0.0,0.0,1.0,0.0,0.0,0.8,0.0,0.2
bloc party,blue light,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.8,0.6
snow patrol,run,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.6,0.2
frou frou,let go,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.8,0.8
interpol,c'mere,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.8,0.6
death cab for cutie,transatlanticism,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.0
joy division,disorder,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.8,0.8
sigur rós,svefn-g-englar,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2,0.2,0.0
led zeppelin jam,immigrant song,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.0,0.6
the strokes,reptilia,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.0,0.8
muse,invincible,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.6,0.4
death cab for cutie,summer skin,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.6,0.4
air,all i need,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.4
arcade fire,crown of love,0.4,0.0,0.8,0.0,0.0,0.0,0.0,0.4,0.6,0.4
arctic monkeys,mardy bum,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.8,0.6
the smiths,this charming man,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.8
air,sexy boy,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.6,0.6
the postal service,sleeping in,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.8,0.6
arcade fire,intervention,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.8,0.4
arcade fire,neighborhood #2 (laika),0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.8,0.6
arctic monkeys,fake tales of san francisco,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.8,0.6
death cab for cutie,your heart is an empty room,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.6,0.4
zero 7,in the waiting line,0.2,0.0,0.0,0.0,0.0,0.2,0.2,0.6,0.6,0.6
josé gonzález,heartbeats,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.2,0.4
massive attack,angel,0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.6,0.4,0.4
bloc party,helicopter,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.0,0.6
amy winehouse,you know i'm no good,0.6,0.0,0.0,0.0,0.0,0.2,0.0,0.6,1.0,0.8
death cab for cutie,marching bands of manhattan,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.6,0.4
feist,mushaboom,0.6,0.0,0.0,0.4,0.0,0.2,0.8,0.4,0.4,0.6
muse,stockholm syndrome,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.0,0.4
the killers,jenny was a friend of mine,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.8,0.8
blur,song 2,0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.4,1.0,0.8
johnny cash,hurt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0
the knife,heartbeats,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.0,1.0
death cab for cutie,someday you will be loved,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.6,0.4
death cab for cutie,different names for the same thing,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.4
bloc party,like eating glass,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.8
dread zeppelin,stairway to heaven,0.4,0.6,0.0,0.0,0.0,0.2,0.0,0.8,0.4,0.6
the shins,caring is creepy,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.6,0.4
radiohead,let down,0.4,0.0,0.0,0.0,0.2,0.0,0.0,0.6,0.6,0.4
coldplay,in my place,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.8,0.4
pixies,where is my mind?,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.6,0.4
bloc party,this modern love,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.8,0.6
damien rice,the blower's daughter,0.2,0.0,0.2,1.0,0.0,0.0,0.0,0.2,0.0,0.2
arcade fire,black mirror,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.6,0.6
the postal service,clark gable,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.8,0.6
ladytron,destroy everything you touch,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.8,1.0
arcade fire,neighborhood #4 (7 kettles),0.4,0.0,1.0,0.0,0.0,0.0,0.0,0.4,0.0,0.4
death cab for cutie,what sarah said,0.2,0.8,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0
kaiser chiefs,i predict a riot,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.0,0.8
u2,with or without you,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.4
death cab for cutie,title and registration,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.6,0.4
amy winehouse,tears dry on their own,0.8,0.0,0.0,0.0,0.0,0.2,0.0,0.6,1.0,1.0
interpol,pda,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.8,0.6
the strokes,last nite,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.8,0.8
the postal service,brand new colony,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.8,0.6
the cure,boys don't cry,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.0,0.8
amy winehouse,back to black,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.4,1.0,0.6
muse,sing for absolution,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.2
arctic monkeys,the view from the afternoon,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.0,0.8
hot chip,over and over,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.8,1.0
sigur rós,hoppípolla,0.4,0.0,0.0,1.0,0.0,0.0,0.0,0.2,0.2,0.2
evanescence,my immortal,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0
hot chip,ready for the floor,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.8,1.0
editors,munich,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.8,0.6
black rebel motorcycle club,spread your love,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.0,0.8
mika,grace kelly,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.8,0.8
gary jules,mad world,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2
muse,take a bow,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.6,0.4
radiohead,subterranean homesick alien,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.4
bloc party,positive tension,0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.6
death cab for cutie,a lack of color,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2
placebo,every you every me,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.8,0.6
pink floyd,the great gig in the sky,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0
the postal service,this place is a prison,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.2
arcade fire,haiti,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.4,0.6
pink floyd,time,0.4,0.0,0.0,0.0,0.0,0.2,0.0,0.6,0.8,0.4
radiohead,idioteque,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.6,0.8
sufjan stevens,casimir pulaski day,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2
röyksopp,eple,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.8
the smiths,bigmouth strikes again,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.8,0.8
arctic monkeys,still take you home,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.0,0.8
the killers,bones,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.8,0.6
black rebel motorcycle club,love burns,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.8,0.6
muse,plug in baby,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.8,0.6
radiohead,my iron lung,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.6,0.2
arcade fire,ocean of noise,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.4
radiohead,just,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.0,0.6
pink floyd,us and them,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.4,0.2,0.2
damien rice,9 crimes,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.2,0.0,0.2
coldplay,god put a smile upon your face,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.8,0.6
daft punk,aerodynamic,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.0,1.0
a perfect circle,3 libras,0.4,0.0,0.0,1.0,0.0,0.0,0.0,0.4,0.2,0.4
the smiths,how soon is now?,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.6,0.4
arcade fire,black wave/bad vibrations,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.4
radiohead,the bends,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.8,0.6
the kooks,ooh la,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.6,0.8
david bowie,ziggy stardust,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.8,0.6
interpol,untitled,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.2
lily allen,ldn,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.6,1.0
arctic monkeys,brianstorm,1.0,0.2,0.0,0.0,0.0,0.0,0.0,0.8,1.0,0.6
black rebel motorcycle club,ain't no easy way,0.6,0.0,0.0,0.0,0.0,0.2,0.2,0.6,0.8,0.8
pixies,debaser,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.0,0.6
gorillaz,dare,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.0,1.0
the knife,pass this on,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.8,0.8
broken social scene,cause = time,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.8,0.6
radiohead,climbing up the walls,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.2
the knife,silent shout,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.8,0.8
arctic monkeys,a certain romance,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.8,0.6
interpol,nyc,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.6,0.2
muse,apocalypse please,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.8,0.2
the kooks,naïve,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.8,0.8
tool,vicarious,0.4,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.2,0.2
peter bjorn and john,young folks,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.8,0.8
arctic monkeys,dancing shoes,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.0,0.8
coldplay,trouble,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.2
arctic monkeys,fluorescent adolescent,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.8,0.8
radiohead,airbag,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.6,0.4
the smiths,there is a light that never goes out,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.6,0.4
klaxons,atlantis to interzone,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.0,0.8
klaxons,gravity's rainbow,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.0,0.8
joy division,transmission,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.0,0.8
damien rice,cannonball,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2
regina spektor,samson,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0
pink floyd,comfortably numb,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.6,0.2
air,kelly watch the stars,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.8,0.6
