artist_name,track_name,Angry Lyrics,Sad Lyrics,Happy/Joyful Lyrics,Humorous Lyrics,Love/Romance Lyrics,Social/Political Lyrics,Abstract Lyrics,Explicit Lyrics
damien rice,cannonball,0.0,0.8,0.0,0.0,0.8,0.0,0.6,0.0
regina spektor,samson,0.0,0.8,0.2,0.0,1.0,0.0,0.6,0.0
pink floyd,comfortably numb,0.0,0.6,0.0,0.0,0.0,0.0,0.6,0.0
air,kelly watch the stars,0.0,0.0,0.2,0.0,0.0,0.0,0.6,0.0
muse,knights of cydonia,0.6,0.0,0.0,0.0,0.0,0.8,0.6,0.0
radiohead,lucky,0.0,0.4,0.2,0.0,0.4,0.2,0.6,0.0
portishead,roads,0.2,1.0,0.0,0.0,0.2,0.0,0.4,0.0
the goo goo dolls,iris,0.0,0.8,0.0,0.0,1.0,0.0,0.4,0.0
the killers,on top,0.0,0.0,0.6,0.0,0.4,0.0,0.4,0.0
the shins,australia,0.0,0.2,0.4,0.0,0.2,0.0,0.6,0.0
the postal service,recycled air,0.0,0.4,0.0,0.0,0.2,0.0,0.6,0.0
radiohead,street spirit (fade out),0.0,1.0,0.0,0.0,0.2,0.0,0.8,0.0
interpol,narc,0.2,0.4,0.0,0.0,0.8,0.0,0.6,0.2
tool,the pot,0.8,0.0,0.0,0.2,0.0,0.6,0.6,0.4
the kooks,she moves in her own way,0.0,0.0,0.8,0.0,1.0,0.0,0.2,0.0
the clash,london calling,0.6,0.2,0.0,0.2,0.0,1.0,0.4,0.0
kaiser chiefs,everyday i love you less and less,0.6,0.2,0.0,0.4,0.6,0.0,0.2,0.2
elliott smith,between the bars,0.0,1.0,0.0,0.0,0.6,0.0,0.4,0.0
sufjan stevens,chicago,0.0,0.6,0.4,0.0,0.2,0.0,0.4,0.0
air,cherry blossom girl,0.0,0.2,0.2,0.0,1.0,0.0,0.4,0.0
sigur rós,sæglópur,0.0,0.2,0.0,0.0,0.0,0.0,1.0,0.0
death cab for cutie,brothers on a hotel bed,0.0,0.8,0.0,0.0,0.8,0.0,0.6,0.0
neutral milk hotel,in the aeroplane over the sea,0.0,0.4,0.8,0.0,0.8,0.0,0.6,0.0
muse,butterflies and hurricanes,0.4,0.2,0.2,0.0,0.0,0.2,0.4,0.0
arcade fire,neon bible,0.4,0.6,0.0,0.0,0.0,0.8,0.4,0.0
air,la femme d'argent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
portishead,sour times,0.2,1.0,0.0,0.0,0.8,0.0,0.4,0.0
radiohead,everything in its right place,0.2,0.4,0.0,0.0,0.0,0.0,1.0,0.0
bloc party,blue light,0.0,0.4,0.2,0.0,0.8,0.0,0.4,0.0
snow patrol,run,0.0,1.0,0.0,0.0,0.8,0.0,0.4,0.0
frou frou,let go,0.0,0.2,0.6,0.0,0.2,0.0,0.4,0.0
interpol,c'mere,0.2,0.6,0.0,0.0,0.8,0.0,0.4,0.0
death cab for cutie,transatlanticism,0.0,1.0,0.0,0.0,1.0,0.0,0.6,0.0
joy division,disorder,0.2,0.6,0.0,0.0,0.0,0.0,0.6,0.0
sigur rós,svefn-g-englar,0.0,0.2,0.0,0.0,0.0,0.0,1.0,0.0
led zeppelin jam,immigrant song,0.4,0.0,0.0,0.0,0.0,0.0,0.4,0.0
the strokes,reptilia,0.4,0.2,0.0,0.0,0.6,0.0,0.4,0.0
muse,invincible,0.0,0.0,0.6,0.0,0.8,0.2,0.2,0.0
sigur rós,hoppípolla,0.0,0.0,0.8,0.2,0.0,0.0,0.6,0.0
evanescence,my immortal,0.0,1.0,0.0,0.0,0.6,0.0,0.4,0.0
hot chip,ready for the floor,0.0,0.0,0.8,0.2,0.6,0.0,0.2,0.0
editors,munich,0.2,0.6,0.0,0.0,0.4,0.0,0.2,0.0
black rebel motorcycle club,spread your love,0.0,0.0,0.2,0.0,0.8,0.0,0.4,0.2
mika,grace kelly,0.4,0.0,0.6,0.8,0.0,0.4,0.4,0.0
gary jules,mad world,0.0,1.0,0.0,0.0,0.0,0.4,0.4,0.0
muse,take a bow,1.0,0.0,0.0,0.0,0.0,1.0,0.4,0.0
radiohead,subterranean homesick alien,0.2,0.4,0.0,0.0,0.0,0.6,0.6,0.0
bloc party,positive tension,0.6,0.2,0.0,0.0,0.0,0.6,0.4,0.4
death cab for cutie,a lack of color,0.0,0.8,0.0,0.0,0.8,0.0,0.4,0.0
placebo,every you every me,0.4,0.6,0.0,0.0,0.8,0.0,0.6,0.4
pink floyd,the great gig in the sky,0.0,0.8,0.0,0.0,0.0,0.0,1.0,0.0
the postal service,this place is a prison,0.6,0.8,0.0,0.0,0.0,0.6,0.4,0.2
arcade fire,haiti,0.2,0.6,0.0,0.0,0.0,0.8,0.4,0.0
pink floyd,time,0.2,0.8,0.0,0.0,0.0,0.2,0.4,0.0
radiohead,idioteque,0.0,0.2,0.0,0.0,0.0,0.8,0.8,0.0
sufjan stevens,casimir pulaski day,0.2,1.0,0.2,0.0,0.6,0.2,0.2,0.0
röyksopp,eple,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
the smiths,bigmouth strikes again,0.6,0.2,0.0,0.6,0.0,0.2,0.4,0.2
arctic monkeys,still take you home,0.4,0.0,0.2,0.4,0.2,0.2,0.2,0.4
the killers,bones,0.0,0.0,0.4,0.2,0.8,0.0,0.4,0.2
black rebel motorcycle club,love burns,0.4,0.4,0.0,0.0,0.8,0.0,0.4,0.0
muse,plug in baby,0.6,0.4,0.0,0.0,0.2,0.0,0.6,0.0
radiohead,my iron lung,0.6,0.4,0.0,0.2,0.0,0.6,0.4,0.2
arcade fire,ocean of noise,0.2,0.6,0.0,0.0,0.4,0.2,0.6,0.0
radiohead,just,0.6,0.2,0.0,0.0,0.0,0.0,0.4,0.0
pink floyd,us and them,0.2,0.8,0.0,0.0,0.0,0.8,0.6,0.0
damien rice,9 crimes,0.0,1.0,0.0,0.0,0.6,0.0,0.4,0.0
coldplay,god put a smile upon your face,0.0,0.4,0.2,0.0,0.2,0.0,0.6,0.0
daft punk,aerodynamic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a perfect circle,3 libras,0.4,1.0,0.0,0.0,0.6,0.0,0.6,0.0
the smiths,how soon is now?,0.2,1.0,0.0,0.0,0.6,0.0,0.4,0.0
arcade fire,black wave/bad vibrations,0.4,0.6,0.0,0.0,0.0,0.4,0.6,0.0
radiohead,the bends,0.4,0.6,0.0,0.0,0.0,0.2,0.4,0.0
the kooks,ooh la,0.0,0.4,0.4,0.0,0.6,0.0,0.4,0.0
david bowie,ziggy stardust,0.2,0.2,0.2,0.2,0.0,0.4,0.4,0.0
interpol,untitled,0.0,0.4,0.0,0.0,0.2,0.0,0.2,0.0
lily allen,ldn,0.2,0.2,0.4,0.6,0.0,0.6,0.4,0.2
arctic monkeys,brianstorm,0.4,0.0,0.0,0.2,0.0,0.0,0.2,0.0
black rebel motorcycle club,ain't no easy way,0.2,0.4,0.0,0.0,0.2,0.0,0.2,0.0
pixies,debaser,0.0,0.0,0.4,0.4,0.2,0.2,0.8,0.4
gorillaz,dare,0.0,0.0,0.6,0.2,0.2,0.0,0.6,0.0
the knife,pass this on,0.0,0.2,0.4,0.0,1.0,0.0,0.0,0.2
broken social scene,cause = time,0.2,0.2,0.2,0.0,0.2,0.2,0.6,0.0
radiohead,climbing up the walls,0.4,0.4,0.0,0.0,0.0,0.0,0.8,0.2
the knife,silent shout,0.2,0.4,0.0,0.0,0.0,0.0,0.8,0.0
arctic monkeys,a certain romance,0.4,0.4,0.0,0.4,0.2,0.6,0.2,0.0
interpol,nyc,0.2,0.8,0.0,0.0,0.0,0.2,0.4,0.0
muse,apocalypse please,0.4,0.4,0.0,0.0,0.0,0.6,0.4,0.0
coldplay,warning sign,0.0,0.8,0.0,0.0,0.8,0.0,0.4,0.0
muse,bliss,0.0,0.0,0.8,0.0,0.4,0.0,0.6,0.0
coldplay,green eyes,0.0,0.2,0.6,0.0,1.0,0.0,0.2,0.0
feist,my moon my man,0.2,0.2,0.4,0.0,0.6,0.0,0.4,0.0
maxïmo park,apply some pressure,0.4,0.4,0.2,0.0,0.2,0.0,0.4,0.0
arctic monkeys,riot van,0.2,0.2,0.0,0.6,0.0,0.6,0.2,0.2
radiohead,electioneering,0.6,0.0,0.0,0.2,0.0,0.8,0.4,0.0
air,run,0.0,0.6,0.0,0.0,0.2,0.0,0.8,0.0
arcade fire,the well and the lighthouse,0.2,0.4,0.0,0.0,0.0,0.4,0.6,0.0
portishead,mysterons,0.4,0.6,0.0,0.0,0.2,0.0,0.8,0.0
muse,feeling good,0.0,0.0,1.0,0.0,0.0,0.0,0.4,0.0
klaxons,it's not over yet,0.0,0.4,0.2,0.0,0.8,0.0,0.2,0.0
pearl jam,black,0.2,1.0,0.0,0.0,1.0,0.0,0.6,0.0
coldplay,a rush of blood to the head,0.6,0.4,0.0,0.0,0.2,0.0,0.6,0.0
broken social scene,anthems for a seventeen year-old girl,0.2,0.8,0.0,0.0,0.4,0.0,0.4,0.0
sigur rós,gong,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
the postal service,natural anthem,0.0,0.0,0.4,0.0,0.0,0.4,0.4,0.0
30 seconds to mars,the kill,0.8,0.6,0.0,0.0,0.4,0.0,0.4,0.0
arctic monkeys,when the sun goes down,0.4,0.4,0.0,0.2,0.0,0.6,0.2,0.4
muse,falling away with you,0.0,0.8,0.0,0.0,0.8,0.0,0.4,0.0
john lennon,imagine,0.0,0.0,0.4,0.0,0.0,0.8,0.2,0.0
nirvana,heart-shaped box,0.4,0.6,0.0,0.0,0.4,0.0,0.8,0.4
the smiths,hand in glove,0.4,0.2,0.6,0.2,1.0,0.4,0.2,0.0
franz ferdinand,jacqueline,0.2,0.0,0.6,0.4,0.0,0.4,0.2,0.0
arctic monkeys,teddy picker,0.4,0.0,0.0,0.2,0.0,0.6,0.4,0.0
bloc party,she's hearing voices,0.2,0.4,0.0,0.0,0.0,0.2,0.4,0.0
air,talisman,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iron & wine,such great heights,0.0,0.4,0.6,0.0,1.0,0.0,0.6,0.0
muse,exo-politics,0.4,0.0,0.0,0.0,0.0,0.8,0.4,0.0
franz ferdinand,the dark of the matinée,0.2,0.0,0.4,0.4,0.2,0.4,0.4,0.0
the beatles,come together,0.0,0.0,0.2,0.2,0.0,0.2,0.8,0.0
death cab for cutie,the sound of settling,0.2,0.4,0.2,0.2,0.4,0.0,0.4,0.0
damien rice,volcano,0.2,0.8,0.0,0.0,0.8,0.0,0.4,0.0
moby,porcelain,0.0,1.0,0.0,0.0,0.8,0.0,0.4,0.0
the ting tings,that's not my name,0.4,0.2,0.2,0.2,0.0,0.0,0.2,0.0
the strokes,someday,0.2,0.4,0.2,0.2,0.6,0.0,0.2,0.0
interpol,not even jail,0.4,0.6,0.0,0.0,0.4,0.0,0.6,0.0
interpol,take you on a cruise,0.0,0.4,0.2,0.0,0.6,0.0,0.6,0.0
justice,d.a.n.c.e.,0.0,0.0,1.0,0.2,0.0,0.2,0.2,0.0
regina spektor,on the radio,0.0,0.4,0.6,0.4,0.4,0.0,0.6,0.0
sia,breathe me,0.0,1.0,0.0,0.0,0.2,0.0,0.4,0.0
amy winehouse,love is a losing game,0.0,1.0,0.0,0.0,1.0,0.0,0.4,0.0
klaxons,totem on the timeline,0.0,0.0,0.2,0.0,0.0,0.0,0.8,0.0
goldfrapp,ooh la la,0.0,0.0,0.2,0.0,0.8,0.0,0.4,0.2
sigur rós,glósóli,0.0,0.2,0.2,0.0,0.0,0.0,0.8,0.0
interpol,say hello to the angels,0.4,0.2,0.0,0.0,0.6,0.0,0.6,0.0
echo & the bunnymen,the killing moon,0.0,0.6,0.0,0.0,0.8,0.0,0.8,0.0
air,alone in kyoto,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pink floyd,brain damage,0.0,0.6,0.0,0.2,0.0,0.4,0.6,0.0
portishead,glory box,0.2,0.8,0.0,0.0,1.0,0.2,0.4,0.2
the cure,a forest,0.0,0.6,0.0,0.0,0.2,0.0,0.8,0.0
pixies,monkey gone to heaven,0.4,0.2,0.0,0.0,0.0,0.8,0.8,0.0
the shins,kissing the lipless,0.6,0.6,0.0,0.0,0.8,0.0,0.6,0.0
cat power,the greatest,0.0,1.0,0.0,0.0,0.0,0.0,0.6,0.0
bright eyes,first day of my life,0.0,0.2,0.6,0.0,1.0,0.0,0.2,0.0
gorillaz,feel good inc.,0.4,0.4,0.2,0.4,0.0,0.8,0.6,0.2
feist,i feel it all,0.0,0.4,0.4,0.0,0.6,0.0,0.6,0.0
pixies,here comes your man,0.0,0.0,0.2,0.2,0.2,0.0,0.6,0.0
afi,miss murder,0.4,0.6,0.0,0.0,0.0,0.4,0.6,0.2
the strokes,you only live once,0.2,0.2,0.4,0.2,0.0,0.2,0.2,0.0
no doubt,don't speak,0.0,1.0,0.0,0.0,0.8,0.0,0.2,0.0
the beatles,while my guitar gently weeps,0.0,0.8,0.0,0.0,0.2,0.2,0.4,0.0
the smiths,what difference does it make?,0.4,0.6,0.0,0.2,0.6,0.0,0.4,0.0
franz ferdinand,michael,0.0,0.0,0.6,0.4,0.2,0.0,0.2,0.4
interpol,no i in threesome,0.4,0.4,0.0,0.2,0.6,0.0,0.4,0.4
black sabbath,paranoid,0.4,1.0,0.0,0.0,0.2,0.0,0.2,0.0
beirut,postcards from italy,0.0,0.4,0.4,0.0,0.8,0.0,0.4,0.0
the cranberries,zombie,0.6,0.8,0.0,0.0,0.0,1.0,0.4,0.0
kaiser chiefs,ruby,0.2,0.0,0.8,0.2,1.0,0.0,0.2,0.0
coldplay,politik,0.2,0.0,0.0,0.0,0.2,0.6,0.4,0.0
interpol,obstacle 2,0.4,0.8,0.0,0.0,0.6,0.0,0.6,0.0
band of horses,the funeral,0.0,1.0,0.0,0.0,0.2,0.0,0.6,0.0
interpol,next exit,0.0,0.2,0.4,0.0,0.6,0.0,0.4,0.0
death cab for cutie,tiny vessels,0.4,0.8,0.0,0.0,1.0,0.0,0.4,0.2
mgmt,weekend wars,0.2,0.2,0.2,0.4,0.2,0.4,0.8,0.0
massive attack,inertia creeps,0.4,0.2,0.0,0.0,0.6,0.0,0.6,0.0
the smashing pumpkins,zero,0.6,0.8,0.0,0.0,0.2,0.2,0.6,0.2
placebo,infra-red,1.0,0.0,0.0,0.0,0.2,0.0,0.4,0.0
klaxons,magick,0.0,0.0,0.2,0.0,0.0,0.0,0.8,0.0
death cab for cutie,passenger seat,0.0,0.2,0.4,0.0,1.0,0.0,0.2,0.0
the killers,midnight show,0.4,0.2,0.0,0.0,0.4,0.0,0.4,0.0
the shins,pink bullets,0.0,0.8,0.2,0.0,0.8,0.0,0.6,0.0
muse,blackout,0.0,0.8,0.0,0.0,0.6,0.0,0.2,0.0
the doors,people are strange,0.0,0.8,0.0,0.0,0.0,0.0,0.4,0.0
portishead,wandering star,0.0,1.0,0.0,0.0,0.2,0.0,0.4,0.0
oasis,live forever,0.0,0.2,0.8,0.0,0.2,0.0,0.2,0.0
panic at the disco,lying is the most fun a girl can have without taking her clothes off,0.6,0.4,0.0,0.2,0.4,0.0,0.2,0.6
black rebel motorcycle club,shuffle your feet,0.0,0.4,0.0,0.0,0.0,0.0,0.4,0.0
air,ce matin-là,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
damien rice,delicate,0.2,0.8,0.0,0.0,0.8,0.0,0.4,0.0
the cure,friday i'm in love,0.0,0.2,1.0,0.2,1.0,0.0,0.2,0.0
amy winehouse,wake up alone,0.0,1.0,0.0,0.0,0.8,0.0,0.4,0.0
antony and the johnsons,hope there's someone,0.0,1.0,0.0,0.0,0.4,0.0,0.4,0.0
muse,soldier's poem,0.2,0.8,0.0,0.0,0.0,0.8,0.2,0.0
elliott smith,angeles,0.4,0.8,0.0,0.0,0.0,0.4,0.4,0.0
a-ha,take on me,0.0,0.2,0.8,0.0,1.0,0.0,0.4,0.0
air,you make it easy,0.0,0.0,0.4,0.0,1.0,0.0,0.2,0.0
air,playground love,0.0,0.0,0.2,0.0,1.0,0.0,0.4,0.0
the beatles,here comes the sun,0.0,0.2,1.0,0.0,0.2,0.0,0.2,0.0
björk,all is full of love,0.0,0.2,0.4,0.0,1.0,0.0,0.4,0.0
fleet foxes,white winter hymnal,0.0,0.2,0.0,0.0,0.0,0.0,0.8,0.0
röyksopp,so easy,0.0,0.8,0.0,0.0,0.6,0.0,0.2,0.0
yeah yeah yeahs,way out,0.4,0.2,0.0,0.0,0.2,0.0,0.6,0.0
the jesus and mary chain,just like honey,0.0,0.4,0.0,0.0,0.8,0.0,0.6,0.0
arcade fire,my body is a cage,0.0,1.0,0.0,0.0,0.4,0.0,0.6,0.0
daft punk,digital love,0.0,0.2,0.8,0.0,1.0,0.0,0.2,0.0
franz ferdinand,auf achse,0.4,0.8,0.0,0.0,0.6,0.0,0.2,0.0
sigur rós,starálfur,0.0,0.2,0.4,0.0,0.0,0.0,0.8,0.0
pixies,hey,0.4,0.2,0.0,0.0,0.6,0.0,0.8,0.4
daft punk,something about us,0.0,0.4,0.0,0.0,1.0,0.0,0.0,0.0
tool,jambi,0.2,0.2,0.2,0.0,0.8,0.0,0.6,0.2
black rebel motorcycle club,berlin,0.2,0.2,0.0,0.0,0.4,0.2,0.4,0.0
radiohead,black star,0.2,0.8,0.0,0.0,0.8,0.0,0.4,0.0
pulp,common people,0.6,0.2,0.0,0.4,0.0,0.8,0.2,0.2
kasabian,club foot,0.6,0.0,0.0,0.0,0.2,0.0,0.6,0.0
jack johnson,better together,0.0,0.2,0.6,0.0,1.0,0.0,0.2,0.0
the smashing pumpkins,disarm,0.4,1.0,0.0,0.0,0.2,0.0,0.6,0.2
