artist_name,track_name,Minor / Major Key Tonality,Harmonic Sophistication
death cab for cutie,different names for the same thing,0.8,0.6
bloc party,like eating glass,0.2,0.2
dread zeppelin,stairway to heaven,0.4,0.8
the shins,caring is creepy,0.4,0.6
radiohead,let down,0.6,0.4
coldplay,in my place,1.0,0.2
pixies,where is my mind?,1.0,0.4
bloc party,this modern love,0.8,0.2
damien rice,the blower's daughter,1.0,0.2
arcade fire,black mirror,0.0,0.2
the postal service,clark gable,0.0,0.2
ladytron,destroy everything you touch,0.0,0.2
arcade fire,neighborhood #4 (7 kettles),0.4,0.6
death cab for cutie,what sarah said,0.0,0.2
kaiser chiefs,i predict a riot,1.0,0.2
u2,with or without you,1.0,0.2
death cab for cutie,title and registration,1.0,0.4
amy winehouse,tears dry on their own,1.0,0.2
interpol,pda,1.0,0.2
the strokes,last nite,1.0,0.2
the postal service,brand new colony,1.0,0.2
the cure,boys don't cry,1.0,0.2
amy winehouse,back to black,0.0,0.6
muse,sing for absolution,0.0,0.6
arctic monkeys,the view from the afternoon,0.0,0.2
hot chip,over and over,1.0,0.0
the kooks,naïve,1.0,0.2
tool,vicarious,0.0,0.6
peter bjorn and john,young folks,0.6,0.2
arctic monkeys,dancing shoes,0.0,0.2
coldplay,trouble,0.0,0.4
arctic monkeys,fluorescent adolescent,1.0,0.2
radiohead,airbag,0.6,0.6
the smiths,there is a light that never goes out,0.6,0.6
klaxons,atlantis to interzone,0.2,0.2
klaxons,gravity's rainbow,0.6,0.6
joy division,transmission,0.4,0.2
damien rice,cannonball,1.0,0.2
regina spektor,samson,1.0,0.2
pink floyd,comfortably numb,0.6,0.6
air,kelly watch the stars,0.0,0.2
muse,knights of cydonia,0.0,0.2
radiohead,lucky,0.4,0.6
portishead,roads,0.0,0.2
the goo goo dolls,iris,0.8,0.6
the killers,on top,1.0,0.2
the shins,australia,1.0,0.6
the postal service,recycled air,0.6,0.2
radiohead,street spirit (fade out),0.0,0.2
interpol,narc,0.0,0.2
tool,the pot,0.6,0.8
the kooks,she moves in her own way,1.0,0.2
the clash,london calling,0.0,0.6
kaiser chiefs,everyday i love you less and less,1.0,0.6
elliott smith,between the bars,0.0,0.8
sufjan stevens,chicago,1.0,0.2
air,cherry blossom girl,0.0,0.2
sigur rós,sæglópur,0.4,0.6
death cab for cutie,brothers on a hotel bed,0.6,0.8
neutral milk hotel,in the aeroplane over the sea,1.0,0.2
muse,butterflies and hurricanes,0.0,0.8
arcade fire,neon bible,0.0,0.2
air,la femme d'argent,0.4,0.6
portishead,sour times,0.0,0.8
radiohead,everything in its right place,0.4,0.6
bloc party,blue light,0.8,0.2
snow patrol,run,1.0,0.2
frou frou,let go,0.6,0.6
interpol,c'mere,0.4,0.2
death cab for cutie,transatlanticism,1.0,0.2
joy division,disorder,1.0,0.2
sigur rós,svefn-g-englar,0.6,0.0
led zeppelin jam,immigrant song,0.0,0.2
the strokes,reptilia,1.0,0.2
muse,invincible,1.0,0.2
sigur rós,hoppípolla,1.0,0.2
evanescence,my immortal,0.0,0.2
hot chip,ready for the floor,1.0,0.2
editors,munich,0.0,0.2
black rebel motorcycle club,spread your love,0.4,0.2
mika,grace kelly,1.0,1.0
gary jules,mad world,0.4,0.6
muse,take a bow,0.4,1.0
radiohead,subterranean homesick alien,0.8,0.6
bloc party,positive tension,0.0,0.2
death cab for cutie,a lack of color,1.0,0.2
placebo,every you every me,0.0,0.2
pink floyd,the great gig in the sky,0.0,0.8
the postal service,this place is a prison,0.0,0.2
arcade fire,haiti,1.0,0.2
pink floyd,time,0.4,0.6
radiohead,idioteque,0.4,0.8
sufjan stevens,casimir pulaski day,1.0,0.2
röyksopp,eple,1.0,0.2
the smiths,bigmouth strikes again,1.0,0.2
arctic monkeys,still take you home,0.0,0.4
the killers,bones,1.0,0.4
black rebel motorcycle club,love burns,0.0,0.2
muse,plug in baby,0.0,0.2
radiohead,my iron lung,0.4,0.6
arcade fire,ocean of noise,0.4,0.4
radiohead,just,0.4,1.0
pink floyd,us and them,0.6,0.8
damien rice,9 crimes,0.0,0.4
coldplay,god put a smile upon your face,0.0,0.2
daft punk,aerodynamic,0.0,0.8
a perfect circle,3 libras,0.0,0.2
the smiths,how soon is now?,0.4,0.6
arcade fire,black wave/bad vibrations,0.4,0.6
radiohead,the bends,0.6,0.6
the kooks,ooh la,1.0,0.2
david bowie,ziggy stardust,1.0,0.6
interpol,untitled,0.6,0.2
lily allen,ldn,1.0,0.2
arctic monkeys,brianstorm,0.4,0.2
black rebel motorcycle club,ain't no easy way,0.0,0.2
pixies,debaser,0.6,0.6
gorillaz,dare,0.0,0.2
the knife,pass this on,0.0,0.2
broken social scene,cause = time,0.8,0.6
radiohead,climbing up the walls,0.0,1.0
the knife,silent shout,0.0,0.2
arctic monkeys,a certain romance,1.0,0.2
interpol,nyc,0.0,0.2
muse,apocalypse please,0.0,0.4
coldplay,warning sign,1.0,0.2
muse,bliss,1.0,0.4
coldplay,green eyes,1.0,0.2
feist,my moon my man,0.0,0.2
maxïmo park,apply some pressure,1.0,0.2
arctic monkeys,riot van,1.0,0.2
radiohead,electioneering,0.6,0.6
air,run,0.2,0.6
arcade fire,the well and the lighthouse,0.4,0.6
portishead,mysterons,0.0,0.8
muse,feeling good,0.4,0.8
klaxons,it's not over yet,0.0,0.2
pearl jam,black,0.8,0.6
coldplay,a rush of blood to the head,0.0,0.2
broken social scene,anthems for a seventeen year-old girl,1.0,0.2
sigur rós,gong,0.6,0.6
the postal service,natural anthem,0.4,0.2
30 seconds to mars,the kill,0.4,0.2
arctic monkeys,when the sun goes down,0.6,0.6
muse,falling away with you,0.4,0.8
john lennon,imagine,1.0,0.6
nirvana,heart-shaped box,0.4,0.6
the smiths,hand in glove,1.0,0.6
franz ferdinand,jacqueline,1.0,0.2
arctic monkeys,teddy picker,0.0,0.2
bloc party,she's hearing voices,0.0,0.2
air,talisman,0.4,0.6
iron & wine,such great heights,1.0,0.2
muse,exo-politics,0.0,0.6
franz ferdinand,the dark of the matinée,1.0,0.6
the beatles,come together,0.4,0.6
death cab for cutie,the sound of settling,1.0,0.2
damien rice,volcano,0.0,0.2
moby,porcelain,0.4,0.2
the ting tings,that's not my name,1.0,0.2
the strokes,someday,1.0,0.2
interpol,not even jail,0.0,0.2
interpol,take you on a cruise,0.0,0.2
justice,d.a.n.c.e.,1.0,0.2
regina spektor,on the radio,1.0,0.4
sia,breathe me,0.0,0.6
amy winehouse,love is a losing game,1.0,0.4
klaxons,totem on the timeline,0.4,0.6
goldfrapp,ooh la la,0.2,0.6
sigur rós,glósóli,0.6,0.2
interpol,say hello to the angels,0.8,0.2
echo & the bunnymen,the killing moon,0.0,0.6
air,alone in kyoto,0.0,0.2
pink floyd,brain damage,1.0,0.6
portishead,glory box,0.0,0.6
the cure,a forest,0.0,0.2
pixies,monkey gone to heaven,0.6,0.6
the shins,kissing the lipless,0.6,0.6
cat power,the greatest,1.0,0.2
bright eyes,first day of my life,1.0,0.2
gorillaz,feel good inc.,0.6,0.2
feist,i feel it all,1.0,0.2
pixies,here comes your man,1.0,0.2
afi,miss murder,0.0,0.2
the strokes,you only live once,1.0,0.2
no doubt,don't speak,0.6,0.4
the beatles,while my guitar gently weeps,0.6,0.8
the smiths,what difference does it make?,1.0,0.2
franz ferdinand,michael,0.8,0.6
interpol,no i in threesome,0.4,0.6
black sabbath,paranoid,0.0,0.2
beirut,postcards from italy,0.4,0.2
the cranberries,zombie,0.0,0.2
kaiser chiefs,ruby,1.0,0.2
coldplay,politik,0.4,0.6
interpol,obstacle 2,0.2,0.6
band of horses,the funeral,0.6,0.4
interpol,next exit,1.0,0.2
death cab for cutie,tiny vessels,0.6,0.2
mgmt,weekend wars,0.6,0.8
massive attack,inertia creeps,0.0,0.6
the smashing pumpkins,zero,0.0,0.6
placebo,infra-red,0.0,0.2
klaxons,magick,0.0,0.2
death cab for cutie,passenger seat,1.0,0.2
the killers,midnight show,0.0,0.2
the shins,pink bullets,0.8,0.2
muse,blackout,0.0,0.8
the doors,people are strange,0.0,0.6
portishead,wandering star,0.0,0.6
oasis,live forever,1.0,0.2
panic at the disco,lying is the most fun a girl can have without taking her clothes off,0.0,0.2
black rebel motorcycle club,shuffle your feet,1.0,0.0
air,ce matin-là,1.0,0.6
damien rice,delicate,0.6,0.2
the cure,friday i'm in love,1.0,0.4
amy winehouse,wake up alone,0.2,0.6
antony and the johnsons,hope there's someone,0.4,0.2
muse,soldier's poem,0.6,0.6
elliott smith,angeles,0.0,0.8
a-ha,take on me,1.0,0.2
air,you make it easy,0.8,0.6
air,playground love,0.0,0.8
the beatles,here comes the sun,1.0,0.6
björk,all is full of love,0.6,0.8
fleet foxes,white winter hymnal,1.0,0.2
röyksopp,so easy,0.8,0.8
yeah yeah yeahs,way out,0.4,0.2
the jesus and mary chain,just like honey,1.0,0.0
arcade fire,my body is a cage,0.0,0.6
daft punk,digital love,1.0,0.8
franz ferdinand,auf achse,0.0,0.2
sigur rós,starálfur,0.8,0.6
pixies,hey,0.6,0.6
daft punk,something about us,0.4,0.8
tool,jambi,0.4,0.6
black rebel motorcycle club,berlin,0.0,0.2
radiohead,black star,0.6,0.4
pulp,common people,0.2,0.4
kasabian,club foot,0.0,0.2
jack johnson,better together,1.0,0.2
the smashing pumpkins,disarm,0.8,0.2
röyksopp,remind me,0.8,0.8
metric,combat baby,1.0,0.2
jeff buckley,last goodbye,0.6,0.6
snow patrol,you're all i have,1.0,0.2
the killers,believe me natalie,0.0,0.2
oasis,don't look back in anger,1.0,0.6
interpol,pioneer to the falls,0.0,0.6
air,remember,0.6,0.6
lady gaga,just dance,0.6,0.2
stars,your ex-lover is dead,1.0,0.6
ladytron,seventeen,0.0,0.2
nirvana,about a girl,0.4,0.2
the beatles,lucy in the sky with diamonds,0.6,0.6
radiohead,planet telex,0.6,0.6
kaiser chiefs,modern way,1.0,0.2
nine inch nails,hurt,0.4,0.6
porcupine tree,blackest eyes,0.6,0.8
ac/dc,back in black,1.0,0.6
queen,don't stop me now,1.0,0.8
queen,another one bites the dust,0.0,0.2
yeah yeah yeahs,date with the night,0.4,0.6
death cab for cutie,lightness,0.4,0.4
muse,city of delusion,0.0,0.8
the rolling stones,paint it black,0.0,0.4
boards of canada,dayvan cowboy,1.0,0.2
muse,assassin,0.0,0.6
arctic monkeys,red light indicates doors are secured,0.0,0.2
franz ferdinand,the fallen,0.6,0.2
portishead,strangers,0.0,0.8
interpol,stella was a diver and she was always down,0.0,0.2
amy winehouse,just friends,0.0,0.6
elliott smith,needle in the hay,0.0,0.2
mgmt,the youth,1.0,0.2
the cure,pictures of you,1.0,0.2
yeah yeah yeahs,y control,0.8,0.6
interpol,public pervert,0.0,0.6
franz ferdinand,this fire,0.0,0.4
snow patrol,chocolate,1.0,0.2
the kooks,sofa song,1.0,0.2
muse,new born,0.0,0.8
kaiser chiefs,oh my god,1.0,0.2
coldplay,shiver,1.0,0.2
the shins,sleeping lessons,1.0,0.2
foo fighters,everlong,0.6,0.6
ratatat,wildcat,0.0,0.2
placebo,the bitter end,0.0,0.2
keane,everybody's changing,1.0,0.2
arcade fire,windowsill,1.0,0.2
evanescence,bring me to life,0.0,0.4
vampire weekend,a-punk,1.0,0.0
modest mouse,the world at large,0.6,0.2
sigur rós,mílanó,0.6,0.6
death cab for cutie,the new year,0.6,0.2
tool,parabola,0.2,0.6
arctic monkeys,from the ritz to the rubble,0.0,0.2
röyksopp,what else is there,0.0,0.2
feist,one evening,0.0,0.2
jeff buckley,grace,0.4,0.8
vampire weekend,oxford comma,1.0,0.2
the smiths,the boy with the thorn in his side,1.0,0.4
interpol,roland,0.0,0.2
tv on the radio,wolf like me,0.4,0.2
pixies,wave of mutilation,0.0,0.4
placebo,post blue,0.0,0.2
the who,baba o'riley,1.0,0.0
bloc party,hunting for witches,0.0,0.2
metallica,enter sandman,0.0,0.6
pink floyd,on the run,0.4,0.2
david bowie,life on mars?,0.8,1.0
radiohead,pyramid song,0.4,0.8
placebo,pure morning,0.0,0.2
radiohead,i might be wrong,0.0,0.2
broken social scene,lover's spit,1.0,0.2
beirut,nantes,0.0,0.2
led zeppelin jam,black dog,0.6,0.6
broken social scene,stars and sons,0.6,0.6
kaiser chiefs,na na na na naa,1.0,0.0
coldplay,square one,0.6,0.2
yeah yeah yeahs,cheated hearts,1.0,0.2
nirvana,rape me,0.4,0.2
broken social scene,7/4 (shoreline),0.8,0.6
madonna,jump,0.6,0.2
coldplay,the hardest part,1.0,0.2
interpol,the heinrich maneuver,1.0,0.2
radiohead,how to disappear completely,0.6,0.8
placebo,because i want you,0.0,0.2
the strokes,heart in a cage,0.0,0.4
josé gonzález,crosses,0.0,0.4
rage against the machine,killing in the name,0.4,0.2
panic at the disco,i write sins not tragedies,0.2,0.6
portishead,it could be sweet,0.0,0.6
black rebel motorcycle club,howl,0.4,0.2
muse,the small print,0.0,0.6
the decemberists,we both go down together,0.0,0.4
röyksopp,only this moment,1.0,0.2
lez zeppelin,whole lotta love,0.4,0.6
björk,jóga,0.6,0.8
new order,blue monday,0.0,0.2
interpol,leif erikson,0.0,0.6
portishead,numb,0.0,0.6
interpol,hands away,0.0,0.2
joy division,new dawn fades,0.0,0.2
the white stripes,fell in love with a girl,0.6,0.6
the fratellis,chelsea dagger,1.0,0.2
the killers,sam's town,1.0,0.6
david bowie,suffragette city,0.8,0.6
franz ferdinand,darts of pleasure,0.0,0.4
soundgarden,black hole sun,0.4,0.8
queens of the stone age,go with the flow,0.4,0.2
porcupine tree,trains,0.8,0.6
feist,inside and out,0.2,0.6
the dandy warhols,bohemian like you,1.0,0.0
nick drake,pink moon,0.6,0.6
black rebel motorcycle club,weapon of choice,0.0,0.2
motörhead,ace of spades,0.4,0.2
interpol,rest my chemistry,0.0,0.2
sigur rós,olsen olsen,0.8,0.6
kings of leon,on call,0.6,0.2
muse,endlessly,0.0,0.6
air,venus,0.6,0.2
sigur rós,intro,0.6,0.6
the kooks,seaside,1.0,0.2
interpol,the new,0.0,0.6
joy division,isolation,1.0,0.2
the velvet underground,sunday morning,1.0,0.2
björk,army of me,0.0,0.2
radiohead,knives out,0.0,0.6
jimi hendrix,all along the watchtower,0.0,0.2
radiohead,the national anthem,0.4,0.8
sigur rós,heysátan,0.6,0.6
coldplay,lost!,1.0,0.2
franz ferdinand,walk away,0.0,0.2
weezer,say it ain't so,1.0,0.4
johnny cash,i walk the line,1.0,0.6
joy division,atmosphere,0.4,0.2
damien rice,cold water,0.0,0.2
coldplay,daylight,0.4,0.6
interpol,length of love,0.0,0.6
cansei de ser sexy,alala,0.0,0.2
regina spektor,better,1.0,0.2
nine inch nails,wish,0.4,0.8
bloc party,the prayer,0.0,0.2
imogen heap,goodnight and go,1.0,0.6
franz ferdinand,ulysses,0.0,0.2
muse,muscle museum,0.0,0.4
kings of leon,the bucket,1.0,0.2
arctic monkeys,perhaps vampires is a bit strong but...,0.0,0.2
the strokes,12:51,1.0,0.2
the beatles,sgt. pepper's lonely hearts club band,1.0,0.6
david bowie,heroes,0.8,0.6
the stone roses,i wanna be adored,0.6,0.6
the knife,marble house,0.0,0.2
massive attack,risingson,0.0,0.6
beirut,a sunday smile,0.0,0.2
röyksopp,sparks,0.0,0.2
the velvet underground,i'm waiting for the man,0.8,0.6
massive attack,unfinished sympathy,0.0,0.6
the ting tings,great dj,1.0,0.0
mogwai,hunted by a freak,0.0,0.6
snow patrol,open your eyes,1.0,0.2
the national,slow show,0.8,0.6
amy winehouse,some unholy war,0.0,0.2
david bowie,rebel rebel,0.8,0.6
weezer,buddy holly,1.0,0.2
bloc party,so here we are,0.6,0.2
black rebel motorcycle club,weight of the world,0.6,0.2
the shins,saint simon,1.0,0.8
placebo,space monkey,0.0,0.2
placebo,follow the cops back home,0.0,0.2
daft punk,crescendolls,1.0,0.2
the knife,neverland,0.0,0.6
the strokes,is this it,1.0,0.2
arctic monkeys,balaclava,0.0,0.6
modest mouse,ocean breathes salty,1.0,0.2
tool,rosetta stoned,0.0,0.6
the shins,turn on me,1.0,0.6
radiohead,bones,0.8,0.6
joy division,shadowplay,0.0,0.2
nirvana,in bloom,0.6,0.2
clap your hands say yeah,over and over again (lost and found),1.0,0.2
yeah yeah yeahs,dudley,0.8,0.2
feist,gatekeeper,1.0,0.2
the libertines,can't stand me now,1.0,0.2
mgmt,the handshake,0.2,0.6
daft punk,technologic,0.4,0.2
pink floyd,hey you,0.0,0.8
amy winehouse,he can only hold her,0.8,0.4
the smiths,heaven knows i'm miserable now,0.8,0.6
pink floyd,any colour you like,0.4,0.6
the shins,so says i,1.0,0.6
plain white t's,hey there delilah,1.0,0.2
the strokes,barely legal,1.0,0.2
the killers,mr brightside,1.0,0.2
röyksopp,poor leno,0.0,0.2
the beatles,i want to hold your hand,1.0,0.4
sigur rós,gobbledigook,1.0,0.2
placebo,special k,0.0,0.2
radiohead,there there,0.0,0.6
muse,thoughts of a dying atheist,0.4,0.2
editors,blood,0.0,0.2
mgmt,4th dimensional transition,0.0,0.6
pixies,gigantic,1.0,0.6
joy division,insight,0.0,0.2
justice,genesis,0.0,0.2
a perfect circle,the noose,0.0,0.6
justin timberlake,sexyback,0.0,0.2
pearl jam,alive,0.6,0.6
portishead,nylon smile,0.0,0.8
patrick wolf,the magic position,1.0,0.4
björk,pagan poetry,0.4,0.8
the kooks,eddie's gun,1.0,0.2
ac/dc,you shook me all night long,1.0,0.0
black rebel motorcycle club,red eyes and tears,0.0,0.2
yeah yeah yeahs,phenomena,0.0,0.2
klaxons,isle of her,0.2,0.2
klaxons,two receivers,0.0,0.2
metric,monster hospital,0.0,0.2
rhianna,don't stop the music,0.0,0.2
joy division,dead souls,0.0,0.2
cut copy,lights and music,0.0,0.2
arctic monkeys,d is for dangerous,0.0,0.2
the smiths,still ill,0.8,0.6
lez zeppelin,rock and roll,0.6,0.0
new young pony club,ice cream,0.0,0.2
the national,brainy,0.0,0.2
death cab for cutie,expo '86,0.6,0.6
the white stripes,my doorbell,1.0,0.0
the national,mistaken for strangers,0.4,0.2
pantera,cowboys from hell,0.0,0.8
air,le voyage de pénélope,0.2,0.6
muse,sunburn,0.0,0.6
radiohead,fitter happier,0.4,0.6
death from above 1979,romantic rights,0.0,0.2
nirvana,dumb,1.0,0.2
the smiths,i know it's over,0.4,0.8
my chemical romance,helena,0.4,0.2
the beach boys,wouldn't it be nice,1.0,1.0
metric,poster of a girl,0.0,0.2
u2,i still haven't found what i'm looking for,1.0,0.0
animal collective,grass,0.8,0.6
evanescence,call me when you're sober,0.0,0.2
arcade fire,(antichrist television blues),1.0,0.2
the velvet underground,heroin,1.0,0.0
air,mike mills,0.8,0.6
massive attack,dissolved girl,0.0,0.8
the killers,for reasons unknown,1.0,0.2
the kooks,you don't love me,1.0,0.2
the shins,young pilgrims,1.0,0.6
imogen heap,headlock,0.4,0.4
muse,interlude,0.0,0.2
death cab for cutie,we looked like giants,0.6,0.2
feist,so sorry,0.0,0.8
the smashing pumpkins,today,1.0,0.2
dido,here with me,0.0,0.2
muse,hoodoo,0.0,0.8
the shins,spilt needles,0.4,0.6
the national,fake empire,0.6,0.6
black rebel motorcycle club,rifles,0.0,0.2
kings of leon,king of the rodeo,1.0,0.6
nirvana,polly,0.0,0.2
nine inch nails,discipline,0.0,0.2
interpol,mammoth,0.0,0.2
afi,love like winter,0.0,0.2
editors,all sparks,0.0,0.2
pixies,tame,0.4,0.6
joy division,day of the lords,0.0,0.2
the cardigans,lovefool,0.6,0.6
lou reed,perfect day,1.0,0.8
thom yorke,black swan,0.0,0.8
u2,sunday bloody sunday,0.6,0.2
gnarls barkley,gone daddy gone,1.0,0.0
björk,human behaviour,0.0,0.2
britney spears,toy soldier,0.0,0.2
the strokes,hard to explain,1.0,0.2
franz ferdinand,cheating on you,0.0,0.2
björk,bachelorette,0.0,0.8
oasis,champagne supernova,0.8,0.6
crystal castles,untrust us,0.0,0.2
sigur rós,hoppipolla,1.0,0.2
tool,lost keys (blame hofmann),0.4,0.6
placebo,drag,0.0,0.2
neutral milk hotel,two-headed boy,1.0,0.2
gorillaz,dirty harry,0.2,0.2
the dresden dolls,coin-operated boy,0.0,0.6
coldplay,white shadows,0.6,0.2
cansei de ser sexy,let's make love and listen to death from above,0.0,0.2
mgmt,pieces of what,0.4,0.2
snow patrol,shut your eyes,1.0,0.2
the knife,the captain,0.0,0.8
kings of convenience,i'd rather dance with you,1.0,0.2
my bloody valentine,only shallow,0.4,0.6
coldplay,cemeteries of london,0.0,0.2
arctic monkeys,you probably couldn't see for the lights but you were staring straight at me,0.8,0.6
the dandy warhols,we used to be friends,0.8,0.6
nirvana,the man who sold the world,0.2,0.6
belle and sebastian,another sunny day,1.0,0.4
nouvelle vague,in a manner of speaking,0.0,0.2
the cure,love song,0.0,0.4
yeah yeah yeahs,honeybear,0.4,0.6
yeah yeah yeahs,rich,0.0,0.2
tool,right in two,0.4,0.6
the kooks,see the world,1.0,0.2
interpol,pace is the trick,0.0,0.2
pulp,disco 2000,1.0,0.2
air,alpha beta gaga,1.0,0.4
david bowie,the man who sold the world,0.2,0.4
tool,lipan conjuring,0.4,0.6
coldplay,what if,0.4,0.4
cansei de ser sexy,music is my hot hot sex,0.0,0.2
jack johnson,banana pancakes,1.0,0.4
feist,secret heart,0.8,0.6
thievery corporation,lebanese blonde,0.0,0.2
pearl jam,jeremy,0.6,0.6
franz ferdinand,tell her tonight,0.0,0.2
franz ferdinand,come on home,0.0,0.4
interpol,a time to be so small,0.0,0.2
franz ferdinand,eleanor put your boots on,1.0,0.4
nine inch nails,survivalism,0.0,0.6
the beatles,because,0.0,1.0
yann tiersen,la noyée,0.2,0.8
nine inch nails,1 ghosts i,0.4,0.6
pink floyd,eclipse,0.8,0.8
mew,special,0.8,0.6
the shins,sea legs,0.4,0.6
the white stripes,the denial twist,0.6,0.8
the smiths,cemetry gates,1.0,0.2
yeah yeah yeahs,pin,0.4,0.6
david bowie,ashes to ashes,0.6,0.8
the smiths,panic,1.0,0.2
spoon,i turn my camera on,1.0,0.0
the rolling stones,sympathy for the devil,0.8,0.6
james blunt,you're beautiful,1.0,0.2
sigur rós,takk...,0.6,0.6
anton maiden,run to the hills,0.6,0.2
tool,sober,0.0,0.2
weezer,island in the sun,1.0,0.2
the beatles,get back,1.0,0.6
crystal castles,alice practice,0.0,0.2
placebo,blind,0.4,0.2
radiohead,optimistic,0.4,0.6
metric,dead disco,0.0,0.2
nelly furtado,all good things (come to an end),0.0,0.2
kasabian,processed beats,0.0,0.2
portishead,the rip,0.0,0.2
daft punk,high life,1.0,0.2
sufjan stevens,to be alone with you,1.0,0.2
black rebel motorcycle club,all you do is talk,0.0,0.2
cut copy,hearts on fire,1.0,0.2
justice,dvno,1.0,0.2
stereophonics,dakota,1.0,0.2
depeche mode,just can't get enough,1.0,0.2
modest mouse,bukowski,0.0,0.2
my bloody valentine,sometimes,0.6,0.6
mogwai,auto rock,0.6,0.6
nirvana,drain you,0.6,0.6
the shins,red rabbits,0.6,0.8
mgmt,future reflections,0.6,0.6
led zeppelin,dazed and confused,0.4,0.8
modest mouse,bury me with it,0.4,0.6
muse,citizen erased,0.6,1.0
tv on the radio,staring at the sun,0.0,0.2
wolf parade,you are a runner and i am my father's son,0.0,0.2
bloc party,pioneers,0.4,0.2
kaiser chiefs,born to be a dancer,0.0,0.2
broken social scene,swimmers,0.6,0.6
sigur rós,sé lest,0.6,0.6
franz ferdinand,this boy,1.0,0.2
snow patrol,how to be dead,1.0,0.2
snow patrol,hands open,1.0,0.2
jimi hendrix,purple haze,0.4,0.6
norah jones,don't know why,1.0,0.6
britney spears,hot as ice,1.0,0.2
massive attack,butterfly caught,0.0,0.6
múm,green grass of tunnel,0.4,0.2
evanescence,going under,0.0,0.2
the killers,bling (confession of a king),1.0,0.4
bon iver,skinny love,0.4,0.2
depeche mode,suffer well,0.0,0.2
crystal castles,courtship dating,0.0,0.2
lez zeppelin,communication breakdown,0.6,0.6
maxïmo park,graffiti,1.0,0.2
mika,love today,1.0,0.4
the shins,pam berry,0.6,0.2
wolfmother,woman,0.0,0.2
crystal castles,magic spells,0.0,0.2
arctic monkeys,do me a favour,0.0,0.4
linkin park,what i've done,0.4,0.2
the knife,like a pen,0.0,0.6
ac/dc,highway to hell,1.0,0.6
spoon,the way we get by,1.0,0.0
the decemberists,the crane wife 3,1.0,0.2
lily allen,everything's just wonderful,1.0,0.2
editors,bullets,0.0,0.2
the go! team,ladyflash,1.0,0.2
gorillaz,last living souls,0.0,0.4
my bloody valentine,when you sleep,0.6,0.2
the strokes,soma,1.0,0.2
daft punk,da funk,0.0,0.0
the verve,sonnet,1.0,0.2
the decemberists,the engine driver,1.0,0.2
björk,hunter,0.0,0.2
