artist_name,track_name,Live Recording,Audio Production,Aural Intensity,Acoustic Sonority,Electric Sonority,Synthetic Sonority
depeche mode,enjoy the silence,0.0,1.0,0.6,0.0,0.4,1.0
the killers,all these things that i've done,0.0,1.0,0.8,0.2,0.8,0.4
mgmt,electric feel,0.0,1.0,0.6,0.2,0.6,1.0
klaxons,golden skans,0.0,1.0,0.8,0.2,0.6,0.8
radiohead,no surprises,0.0,1.0,0.2,0.4,0.6,0.0
the shins,new slang,0.0,0.6,0.4,0.8,0.4,0.0
jeff buckley,hallelujah,0.0,1.0,0.4,0.2,0.8,0.0
radiohead,exit music (for a film),0.0,1.0,0.6,0.6,0.4,0.4
interpol,obstacle 1,0.0,0.8,0.8,0.2,1.0,0.0
pink floyd,wish you were here,0.0,1.0,0.4,0.8,0.6,0.2
joy division,she's lost control,0.0,0.8,0.6,0.2,0.8,0.2
radiohead,videotape,0.0,1.0,0.2,0.8,0.2,0.2
interpol,slow hands,0.0,0.8,0.8,0.0,1.0,0.0
death cab for cutie,crooked teeth,0.0,1.0,0.6,0.2,0.8,0.2
the postal service,the district sleeps alone tonight,0.0,0.8,0.4,0.2,0.4,1.0
coldplay,don't panic,0.0,0.8,0.4,0.8,0.4,0.0
imogen heap,hide and seek,0.0,1.0,0.4,0.2,0.0,1.0
arcade fire,keep the car running,0.0,1.0,0.8,0.6,0.6,0.0
death cab for cutie,summer skin,0.0,1.0,0.4,0.2,0.8,0.4
air,all i need,0.0,1.0,0.4,0.4,0.6,0.8
arcade fire,crown of love,0.0,0.8,0.6,0.6,0.6,0.0
arctic monkeys,mardy bum,0.0,0.8,0.6,0.0,0.8,0.0
the smiths,this charming man,0.0,0.8,0.6,0.2,1.0,0.0
air,sexy boy,0.0,1.0,0.4,0.0,0.2,1.0
the postal service,sleeping in,0.0,0.8,0.4,0.2,0.2,1.0
arcade fire,intervention,0.0,1.0,0.8,0.8,0.4,0.0
arcade fire,neighborhood #2 (laika),0.0,0.8,0.8,0.4,0.8,0.2
arctic monkeys,fake tales of san francisco,0.0,0.8,0.8,0.2,1.0,0.0
death cab for cutie,your heart is an empty room,0.0,1.0,0.6,0.2,0.8,0.2
zero 7,in the waiting line,0.0,1.0,0.4,0.4,0.6,0.8
josé gonzález,heartbeats,0.0,1.0,0.2,1.0,0.0,0.0
massive attack,angel,0.0,1.0,0.8,0.2,0.8,0.8
bloc party,helicopter,0.0,0.8,1.0,0.2,1.0,0.0
amy winehouse,you know i'm no good,0.0,1.0,0.6,0.6,0.6,0.0
death cab for cutie,marching bands of manhattan,0.0,1.0,0.6,0.4,0.8,0.2
feist,mushaboom,0.0,0.8,0.4,0.8,0.4,0.2
muse,stockholm syndrome,0.0,1.0,1.0,0.2,1.0,0.2
the killers,jenny was a friend of mine,0.0,1.0,0.8,0.0,0.8,0.6
blur,song 2,0.0,0.8,1.0,0.2,1.0,0.0
johnny cash,hurt,0.0,1.0,0.4,0.8,0.2,0.0
the knife,heartbeats,0.0,1.0,0.6,0.0,0.0,1.0
death cab for cutie,someday you will be loved,0.0,1.0,0.4,0.6,0.6,0.4
death cab for cutie,different names for the same thing,0.0,1.0,0.6,0.6,0.2,0.8
bloc party,like eating glass,0.0,0.8,0.8,0.2,1.0,0.0
dread zeppelin,stairway to heaven,0.0,0.8,0.4,0.2,0.8,0.2
the shins,caring is creepy,0.0,0.6,0.4,0.4,0.6,0.6
radiohead,let down,0.0,1.0,0.6,0.2,0.8,0.4
coldplay,in my place,0.0,1.0,0.6,0.2,0.8,0.0
pixies,where is my mind?,0.0,0.8,0.6,0.2,1.0,0.0
bloc party,this modern love,0.0,1.0,0.8,0.2,1.0,0.0
damien rice,the blower's daughter,0.0,0.8,0.4,1.0,0.0,0.0
arcade fire,black mirror,0.0,1.0,0.6,0.4,0.8,0.2
the postal service,clark gable,0.0,0.8,0.6,0.2,0.4,1.0
ladytron,destroy everything you touch,0.0,1.0,0.8,0.0,0.4,1.0
arcade fire,neighborhood #4 (7 kettles),0.0,0.8,0.4,0.8,0.2,0.0
death cab for cutie,what sarah said,0.0,1.0,0.4,0.8,0.4,0.2
kaiser chiefs,i predict a riot,0.0,0.8,0.8,0.2,1.0,0.0
u2,with or without you,0.0,1.0,0.6,0.2,1.0,0.4
death cab for cutie,title and registration,0.0,1.0,0.4,0.2,0.8,0.2
amy winehouse,tears dry on their own,0.0,1.0,0.8,0.6,0.8,0.0
interpol,pda,0.0,0.8,0.8,0.2,1.0,0.0
the strokes,last nite,0.0,0.6,0.8,0.2,1.0,0.0
the postal service,brand new colony,0.0,1.0,0.6,0.0,0.2,1.0
the cure,boys don't cry,0.0,0.6,0.6,0.2,1.0,0.0
amy winehouse,back to black,0.0,1.0,0.6,0.8,0.4,0.0
muse,sing for absolution,0.0,1.0,0.6,0.4,0.8,0.4
arctic monkeys,the view from the afternoon,0.0,0.8,1.0,0.2,1.0,0.0
hot chip,over and over,0.0,0.8,0.6,0.2,0.6,0.8
the kooks,naïve,0.0,0.8,0.6,0.2,0.8,0.0
tool,vicarious,0.0,1.0,0.8,0.2,1.0,0.0
peter bjorn and john,young folks,0.0,1.0,0.4,0.4,0.6,0.2
arctic monkeys,dancing shoes,0.0,0.8,0.8,0.2,0.8,0.0
coldplay,trouble,0.0,1.0,0.4,0.8,0.4,0.0
arctic monkeys,fluorescent adolescent,0.0,1.0,0.6,0.2,1.0,0.0
radiohead,airbag,0.0,1.0,0.6,0.2,0.8,0.4
the smiths,there is a light that never goes out,0.0,0.8,0.4,0.4,0.8,0.4
klaxons,atlantis to interzone,0.0,0.8,1.0,0.2,0.8,0.8
klaxons,gravity's rainbow,0.0,0.8,0.8,0.0,0.8,0.8
joy division,transmission,0.0,0.8,0.8,0.2,1.0,0.0
damien rice,cannonball,0.0,0.8,0.4,1.0,0.2,0.0
regina spektor,samson,0.0,1.0,0.2,1.0,0.0,0.0
pink floyd,comfortably numb,0.0,1.0,0.8,0.4,0.8,0.4
air,kelly watch the stars,0.0,1.0,0.4,0.0,0.6,1.0
muse,knights of cydonia,0.0,1.0,1.0,0.2,1.0,0.4
radiohead,lucky,0.0,1.0,0.6,0.2,0.8,0.2
portishead,roads,0.0,0.8,0.4,0.2,0.8,0.8
the goo goo dolls,iris,0.0,1.0,0.8,0.8,0.6,0.0
the killers,on top,0.0,1.0,0.8,0.2,0.8,0.6
the shins,australia,0.0,1.0,0.6,0.4,0.8,0.4
the postal service,recycled air,0.0,1.0,0.4,0.0,0.2,1.0
radiohead,street spirit (fade out),0.0,1.0,0.4,0.2,1.0,0.0
interpol,narc,0.0,0.8,0.6,0.2,1.0,0.0
tool,the pot,0.0,1.0,1.0,0.2,1.0,0.0
the kooks,she moves in her own way,0.0,0.8,0.4,0.4,0.8,0.0
the clash,london calling,0.0,0.8,0.8,0.0,1.0,0.0
kaiser chiefs,everyday i love you less and less,0.0,0.8,0.8,0.2,1.0,0.2
elliott smith,between the bars,0.0,0.6,0.2,1.0,0.0,0.0
sufjan stevens,chicago,0.0,1.0,0.6,0.8,0.4,0.0
air,cherry blossom girl,0.0,1.0,0.2,0.6,0.4,0.8
sigur rós,sæglópur,0.0,1.0,0.8,0.6,0.8,0.2
death cab for cutie,brothers on a hotel bed,0.0,1.0,0.4,0.6,0.4,0.6
neutral milk hotel,in the aeroplane over the sea,0.0,0.4,0.6,1.0,0.2,0.0
muse,butterflies and hurricanes,0.0,1.0,0.8,0.4,0.8,0.2
arcade fire,neon bible,0.0,0.8,0.4,0.8,0.2,0.0
air,la femme d'argent,0.0,1.0,0.4,0.2,0.8,1.0
portishead,sour times,0.0,1.0,0.4,0.6,0.4,0.4
radiohead,everything in its right place,0.0,1.0,0.4,0.0,0.0,1.0
bloc party,blue light,0.0,0.8,0.4,0.2,0.8,0.0
snow patrol,run,0.0,1.0,0.8,0.4,0.8,0.2
frou frou,let go,0.0,1.0,0.6,0.2,0.4,1.0
interpol,c'mere,0.0,0.8,0.8,0.2,1.0,0.0
death cab for cutie,transatlanticism,0.0,1.0,0.8,0.4,0.8,0.2
joy division,disorder,0.0,0.8,0.8,0.2,1.0,0.0
sigur rós,svefn-g-englar,0.0,1.0,0.6,0.4,0.8,0.2
led zeppelin jam,immigrant song,0.0,0.8,1.0,0.0,1.0,0.0
the strokes,reptilia,0.0,0.8,0.8,0.2,1.0,0.0
muse,invincible,0.0,1.0,0.6,0.2,0.8,0.6
sigur rós,hoppípolla,0.0,1.0,0.8,0.8,0.4,0.2
evanescence,my immortal,0.0,1.0,0.4,0.6,0.4,0.2
hot chip,ready for the floor,0.0,1.0,0.6,0.0,0.2,1.0
editors,munich,0.0,0.8,0.8,0.2,1.0,0.0
black rebel motorcycle club,spread your love,0.0,0.8,0.8,0.2,1.0,0.0
mika,grace kelly,0.0,1.0,0.8,0.8,0.2,0.4
gary jules,mad world,0.0,1.0,0.2,0.8,0.0,0.2
muse,take a bow,0.0,1.0,1.0,0.2,0.8,0.8
radiohead,subterranean homesick alien,0.0,1.0,0.6,0.2,0.8,0.4
bloc party,positive tension,0.0,0.8,0.8,0.2,1.0,0.0
death cab for cutie,a lack of color,0.0,1.0,0.2,1.0,0.2,0.0
placebo,every you every me,0.0,1.0,0.8,0.2,1.0,0.2
pink floyd,the great gig in the sky,0.0,1.0,0.8,0.6,0.6,0.2
the postal service,this place is a prison,0.0,1.0,0.4,0.0,0.2,1.0
arcade fire,haiti,0.0,0.8,0.4,0.6,0.6,0.2
pink floyd,time,0.0,1.0,0.8,0.2,0.8,0.4
radiohead,idioteque,0.0,1.0,0.8,0.0,0.0,1.0
sufjan stevens,casimir pulaski day,0.0,0.8,0.2,1.0,0.2,0.0
röyksopp,eple,0.0,1.0,0.4,0.0,0.2,1.0
the smiths,bigmouth strikes again,0.0,0.8,0.6,0.2,1.0,0.0
arctic monkeys,still take you home,0.0,0.8,0.8,0.2,1.0,0.0
the killers,bones,0.0,1.0,0.8,0.2,0.8,0.4
black rebel motorcycle club,love burns,0.0,0.6,0.8,0.0,1.0,0.0
muse,plug in baby,0.0,1.0,0.8,0.2,1.0,0.2
radiohead,my iron lung,0.2,1.0,0.8,0.0,1.0,0.0
arcade fire,ocean of noise,0.0,1.0,0.6,0.6,0.6,0.2
radiohead,just,0.0,1.0,0.8,0.0,1.0,0.0
pink floyd,us and them,0.0,1.0,0.4,0.6,0.6,0.2
damien rice,9 crimes,0.0,1.0,0.4,1.0,0.2,0.0
coldplay,god put a smile upon your face,0.0,1.0,0.6,0.2,0.8,0.0
daft punk,aerodynamic,0.0,1.0,0.8,0.0,0.4,1.0
a perfect circle,3 libras,0.0,1.0,0.4,0.8,0.4,0.0
the smiths,how soon is now?,0.0,1.0,0.8,0.0,1.0,0.4
arcade fire,black wave/bad vibrations,0.0,1.0,0.8,0.2,0.8,0.6
radiohead,the bends,0.0,0.8,0.8,0.2,1.0,0.0
the kooks,ooh la,0.0,0.8,0.4,0.8,0.4,0.0
david bowie,ziggy stardust,0.0,0.8,0.6,0.2,1.0,0.0
interpol,untitled,0.0,0.8,0.6,0.0,1.0,0.2
lily allen,ldn,0.0,1.0,0.4,0.6,0.4,0.2
arctic monkeys,brianstorm,0.0,1.0,1.0,0.2,1.0,0.0
black rebel motorcycle club,ain't no easy way,0.0,0.8,0.6,0.8,0.4,0.0
pixies,debaser,0.0,0.8,0.8,0.2,1.0,0.0
gorillaz,dare,0.0,1.0,0.8,0.0,0.4,1.0
the knife,pass this on,0.0,1.0,0.4,0.0,0.0,1.0
broken social scene,cause = time,0.0,0.8,0.8,0.4,1.0,0.2
radiohead,climbing up the walls,0.0,1.0,0.8,0.4,0.8,0.4
the knife,silent shout,0.0,1.0,0.8,0.0,0.0,1.0
arctic monkeys,a certain romance,0.0,0.8,0.8,0.0,1.0,0.0
interpol,nyc,0.0,0.8,0.4,0.2,1.0,0.2
muse,apocalypse please,0.0,1.0,1.0,0.8,0.4,0.2
coldplay,warning sign,0.0,1.0,0.4,0.6,0.6,0.0
muse,bliss,0.0,1.0,0.8,0.2,0.6,0.8
coldplay,green eyes,0.0,1.0,0.4,0.8,0.4,0.0
feist,my moon my man,0.0,1.0,0.6,0.4,0.8,0.2
maxïmo park,apply some pressure,0.0,0.8,0.8,0.2,1.0,0.0
arctic monkeys,riot van,0.0,0.8,0.2,0.2,0.8,0.0
radiohead,electioneering,0.0,0.8,0.8,0.2,1.0,0.0
air,run,0.0,1.0,0.4,0.0,0.4,1.0
arcade fire,the well and the lighthouse,0.0,0.8,0.8,0.2,0.8,0.2
portishead,mysterons,0.0,1.0,0.4,0.2,0.4,0.8
muse,feeling good,0.0,1.0,1.0,0.4,0.8,0.2
klaxons,it's not over yet,0.0,1.0,0.8,0.2,0.8,0.4
pearl jam,black,0.0,1.0,0.8,0.2,1.0,0.0
coldplay,a rush of blood to the head,0.0,1.0,0.6,0.8,0.4,0.2
broken social scene,anthems for a seventeen year-old girl,0.0,0.8,0.4,0.6,0.4,0.2
sigur rós,gong,0.0,1.0,0.8,0.4,0.8,0.2
the postal service,natural anthem,0.0,1.0,0.8,0.0,0.2,1.0
30 seconds to mars,the kill,0.0,1.0,0.8,0.0,1.0,0.2
arctic monkeys,when the sun goes down,0.0,0.8,0.8,0.2,1.0,0.0
muse,falling away with you,0.0,1.0,0.6,0.4,0.8,0.2
john lennon,imagine,0.0,1.0,0.4,0.8,0.4,0.0
nirvana,heart-shaped box,0.0,0.8,0.8,0.2,1.0,0.0
the smiths,hand in glove,0.0,0.6,0.6,0.2,0.8,0.0
franz ferdinand,jacqueline,0.0,0.8,0.8,0.2,1.0,0.0
arctic monkeys,teddy picker,0.0,1.0,0.8,0.2,1.0,0.0
bloc party,she's hearing voices,0.0,0.8,0.8,0.2,1.0,0.0
air,talisman,0.0,1.0,0.2,0.2,0.2,1.0
iron & wine,such great heights,0.0,0.8,0.2,1.0,0.0,0.0
muse,exo-politics,0.0,1.0,0.8,0.2,1.0,0.4
franz ferdinand,the dark of the matinée,0.0,1.0,0.6,0.2,1.0,0.0
the beatles,come together,0.0,1.0,0.6,0.2,1.0,0.0
death cab for cutie,the sound of settling,0.0,0.8,0.6,0.2,0.8,0.0
damien rice,volcano,0.0,0.8,0.4,1.0,0.2,0.0
moby,porcelain,0.0,1.0,0.4,0.4,0.2,0.8
the ting tings,that's not my name,0.0,1.0,0.8,0.2,0.8,0.2
the strokes,someday,0.0,0.8,0.6,0.2,1.0,0.0
interpol,not even jail,0.0,1.0,0.8,0.2,1.0,0.0
interpol,take you on a cruise,0.0,0.8,0.6,0.0,1.0,0.2
justice,d.a.n.c.e.,0.0,1.0,0.6,0.2,0.2,1.0
regina spektor,on the radio,0.0,1.0,0.6,0.6,0.4,0.2
sia,breathe me,0.0,1.0,0.6,0.8,0.2,0.4
amy winehouse,love is a losing game,0.0,1.0,0.4,0.6,0.6,0.0
klaxons,totem on the timeline,0.0,0.8,0.8,0.2,0.8,0.6
goldfrapp,ooh la la,0.0,1.0,0.8,0.0,0.8,1.0
sigur rós,glósóli,0.0,1.0,0.8,0.4,0.8,0.2
interpol,say hello to the angels,0.0,0.8,0.8,0.2,1.0,0.0
echo & the bunnymen,the killing moon,0.0,1.0,0.6,0.6,0.8,0.2
air,alone in kyoto,0.0,1.0,0.2,0.6,0.2,0.6
pink floyd,brain damage,0.0,1.0,0.6,0.4,0.8,0.2
portishead,glory box,0.0,1.0,0.4,0.2,0.8,0.8
the cure,a forest,0.0,0.8,0.4,0.2,0.8,0.4
pixies,monkey gone to heaven,0.0,1.0,0.8,0.4,0.8,0.0
the shins,kissing the lipless,0.0,0.8,0.8,0.4,0.8,0.0
cat power,the greatest,0.0,1.0,0.4,0.8,0.4,0.0
bright eyes,first day of my life,0.0,0.8,0.2,1.0,0.0,0.0
gorillaz,feel good inc.,0.0,1.0,0.8,0.2,0.8,0.8
feist,i feel it all,0.0,1.0,0.6,0.8,0.4,0.0
pixies,here comes your man,0.0,1.0,0.6,0.2,1.0,0.0
afi,miss murder,0.0,1.0,0.8,0.2,1.0,0.2
the strokes,you only live once,0.0,1.0,0.8,0.2,1.0,0.0
no doubt,don't speak,0.0,1.0,0.6,0.6,0.4,0.0
the beatles,while my guitar gently weeps,0.0,1.0,0.6,0.4,0.8,0.0
the smiths,what difference does it make?,0.0,0.8,0.6,0.2,1.0,0.0
franz ferdinand,michael,0.0,0.8,0.8,0.2,1.0,0.0
interpol,no i in threesome,0.0,1.0,0.6,0.2,0.8,0.4
black sabbath,paranoid,0.0,0.8,0.8,0.0,1.0,0.0
beirut,postcards from italy,0.0,0.6,0.4,1.0,0.2,0.0
the cranberries,zombie,0.0,1.0,0.8,0.2,1.0,0.0
kaiser chiefs,ruby,0.0,1.0,0.8,0.2,1.0,0.2
coldplay,politik,0.0,1.0,0.8,0.6,0.6,0.2
interpol,obstacle 2,0.0,0.8,0.6,0.2,1.0,0.0
band of horses,the funeral,0.0,1.0,0.8,0.2,1.0,0.0
interpol,next exit,0.0,1.0,0.6,0.2,0.8,0.4
death cab for cutie,tiny vessels,0.0,0.8,0.6,0.2,0.8,0.2
mgmt,weekend wars,0.0,1.0,0.6,0.2,0.8,0.6
massive attack,inertia creeps,0.0,1.0,0.6,0.2,0.6,0.8
the smashing pumpkins,zero,0.0,1.0,1.0,0.0,1.0,0.0
placebo,infra-red,0.0,1.0,0.8,0.0,1.0,0.4
klaxons,magick,0.0,0.8,0.8,0.2,0.8,0.8
death cab for cutie,passenger seat,0.0,1.0,0.2,0.8,0.2,0.0
the killers,midnight show,0.0,1.0,0.8,0.0,1.0,0.4
the shins,pink bullets,0.0,0.8,0.4,0.8,0.4,0.2
muse,blackout,0.0,1.0,0.4,0.8,0.4,0.2
the doors,people are strange,0.0,0.8,0.4,0.6,0.6,0.0
portishead,wandering star,0.0,0.8,0.4,0.2,0.8,0.6
oasis,live forever,0.0,0.8,0.8,0.2,1.0,0.0
panic at the disco,lying is the most fun a girl can have without taking her clothes off,0.0,1.0,0.8,0.0,1.0,0.4
black rebel motorcycle club,shuffle your feet,0.0,0.8,0.6,0.8,0.2,0.0
air,ce matin-là,0.0,1.0,0.4,0.8,0.4,0.4
damien rice,delicate,0.0,0.8,0.4,1.0,0.0,0.0
the cure,friday i'm in love,0.0,1.0,0.6,0.2,0.8,0.2
amy winehouse,wake up alone,0.0,1.0,0.4,0.4,0.8,0.0
antony and the johnsons,hope there's someone,0.0,0.8,0.4,1.0,0.0,0.0
muse,soldier's poem,0.0,1.0,0.2,0.4,0.4,0.0
elliott smith,angeles,0.0,0.6,0.2,1.0,0.0,0.0
a-ha,take on me,0.0,1.0,0.6,0.0,0.2,1.0
air,you make it easy,0.0,1.0,0.4,0.2,0.6,0.8
air,playground love,0.0,1.0,0.4,0.4,0.6,0.8
the beatles,here comes the sun,0.0,1.0,0.4,0.8,0.4,0.4
björk,all is full of love,0.0,1.0,0.4,0.2,0.2,1.0
fleet foxes,white winter hymnal,0.0,1.0,0.4,1.0,0.0,0.0
röyksopp,so easy,0.0,1.0,0.4,0.4,0.0,1.0
yeah yeah yeahs,way out,0.0,0.8,0.6,0.2,1.0,0.0
the jesus and mary chain,just like honey,0.0,0.4,0.8,0.2,1.0,0.0
arcade fire,my body is a cage,0.0,1.0,0.8,0.8,0.4,0.2
daft punk,digital love,0.0,1.0,0.6,0.0,0.4,1.0
franz ferdinand,auf achse,0.0,1.0,0.4,0.2,0.8,0.4
sigur rós,starálfur,0.0,1.0,0.4,0.8,0.4,0.2
pixies,hey,0.0,0.8,0.6,0.0,1.0,0.0
daft punk,something about us,0.0,1.0,0.4,0.0,0.4,1.0
tool,jambi,0.0,1.0,1.0,0.0,1.0,0.0
black rebel motorcycle club,berlin,0.0,0.8,0.8,0.2,1.0,0.0
radiohead,black star,0.0,1.0,0.6,0.2,1.0,0.0
pulp,common people,0.0,1.0,0.8,0.2,0.8,0.4
kasabian,club foot,0.0,1.0,0.8,0.2,1.0,0.6
jack johnson,better together,0.0,1.0,0.4,1.0,0.2,0.0
the smashing pumpkins,disarm,0.0,1.0,0.6,1.0,0.2,0.0
röyksopp,remind me,0.0,1.0,0.4,0.0,0.2,1.0
metric,combat baby,0.0,0.8,0.8,0.0,0.8,0.4
jeff buckley,last goodbye,0.0,1.0,0.8,0.2,0.8,0.0
snow patrol,you're all i have,0.0,1.0,0.8,0.2,1.0,0.0
the killers,believe me natalie,0.0,1.0,0.8,0.4,0.8,0.4
oasis,don't look back in anger,0.0,1.0,0.8,0.4,0.8,0.0
interpol,pioneer to the falls,0.0,1.0,0.6,0.4,0.8,0.2
air,remember,0.0,1.0,0.4,0.2,0.4,1.0
lady gaga,just dance,0.0,1.0,0.8,0.0,0.2,1.0
stars,your ex-lover is dead,0.0,1.0,0.6,0.8,0.6,0.2
ladytron,seventeen,0.0,1.0,0.6,0.0,0.0,1.0
nirvana,about a girl,0.0,0.6,0.6,0.0,1.0,0.0
the beatles,lucy in the sky with diamonds,0.0,1.0,0.6,0.4,0.8,0.0
radiohead,planet telex,0.0,1.0,0.8,0.2,0.8,0.4
kaiser chiefs,modern way,0.0,1.0,0.6,0.2,0.8,0.4
nine inch nails,hurt,0.0,1.0,0.8,0.4,0.6,0.8
porcupine tree,blackest eyes,0.0,1.0,0.8,0.4,1.0,0.4
ac/dc,back in black,0.0,1.0,1.0,0.2,1.0,0.0
queen,don't stop me now,0.0,1.0,0.8,0.4,0.6,0.0
queen,another one bites the dust,0.0,1.0,0.8,0.2,0.8,0.0
yeah yeah yeahs,date with the night,0.0,0.8,1.0,0.2,1.0,0.0
death cab for cutie,lightness,0.0,1.0,0.2,0.2,0.6,0.6
muse,city of delusion,0.0,1.0,0.8,0.8,0.4,0.2
the rolling stones,paint it black,0.0,0.8,0.8,0.4,0.8,0.0
boards of canada,dayvan cowboy,0.0,0.8,0.6,0.4,0.6,0.8
muse,assassin,0.0,1.0,1.0,0.2,1.0,0.2
arctic monkeys,red light indicates doors are secured,0.0,0.8,0.8,0.2,1.0,0.0
franz ferdinand,the fallen,0.0,0.8,0.8,0.2,1.0,0.0
portishead,strangers,0.0,1.0,0.4,0.2,0.8,0.8
interpol,stella was a diver and she was always down,0.0,0.8,0.8,0.0,1.0,0.0
amy winehouse,just friends,0.0,1.0,0.4,0.6,0.6,0.0
elliott smith,needle in the hay,0.0,0.4,0.2,1.0,0.0,0.0
mgmt,the youth,0.0,1.0,0.6,0.2,0.4,1.0
the cure,pictures of you,0.0,1.0,0.6,0.2,0.8,0.6
yeah yeah yeahs,y control,0.0,0.8,0.8,0.2,1.0,0.0
interpol,public pervert,0.0,1.0,0.6,0.2,1.0,0.2
franz ferdinand,this fire,0.0,1.0,0.8,0.2,1.0,0.0
snow patrol,chocolate,0.0,1.0,0.6,0.4,0.8,0.0
the kooks,sofa song,0.0,0.8,0.6,0.2,1.0,0.0
muse,new born,0.0,1.0,1.0,0.4,1.0,0.2
kaiser chiefs,oh my god,0.0,0.8,0.8,0.2,1.0,0.0
coldplay,shiver,0.0,0.8,0.6,0.2,0.8,0.0
the shins,sleeping lessons,0.0,1.0,0.6,0.2,0.8,0.4
foo fighters,everlong,0.0,1.0,1.0,0.0,1.0,0.0
ratatat,wildcat,0.0,1.0,0.8,0.0,0.8,1.0
placebo,the bitter end,0.0,1.0,0.8,0.2,1.0,0.4
keane,everybody's changing,0.0,1.0,0.6,0.6,0.2,0.4
arcade fire,windowsill,0.0,1.0,0.8,0.4,0.8,0.0
evanescence,bring me to life,0.0,1.0,0.8,0.4,0.8,0.2
vampire weekend,a-punk,0.0,0.8,0.6,0.4,0.8,0.2
modest mouse,the world at large,0.0,1.0,0.4,0.4,0.8,0.2
sigur rós,mílanó,0.0,1.0,0.8,0.4,0.8,0.2
death cab for cutie,the new year,0.0,1.0,0.8,0.2,1.0,0.2
tool,parabola,0.0,1.0,1.0,0.2,1.0,0.2
arctic monkeys,from the ritz to the rubble,0.0,0.8,0.8,0.2,1.0,0.0
röyksopp,what else is there,0.0,1.0,0.6,0.0,0.2,1.0
feist,one evening,0.0,1.0,0.4,0.0,0.4,0.8
jeff buckley,grace,0.0,1.0,0.8,0.2,0.8,0.0
vampire weekend,oxford comma,0.0,0.8,0.4,0.4,0.8,0.2
the smiths,the boy with the thorn in his side,0.0,0.8,0.4,0.4,0.8,0.2
interpol,roland,0.0,0.8,0.8,0.2,1.0,0.0
tv on the radio,wolf like me,0.0,1.0,1.0,0.2,1.0,0.4
pixies,wave of mutilation,0.0,0.8,0.8,0.2,1.0,0.0
placebo,post blue,0.0,1.0,0.8,0.0,1.0,0.2
the who,baba o'riley,0.0,1.0,0.8,0.2,0.8,0.6
bloc party,hunting for witches,0.0,1.0,0.8,0.2,1.0,0.2
metallica,enter sandman,0.0,1.0,1.0,0.0,1.0,0.0
pink floyd,on the run,0.0,1.0,0.8,0.0,0.2,1.0
david bowie,life on mars?,0.0,1.0,0.6,0.8,0.4,0.0
radiohead,pyramid song,0.0,1.0,0.4,0.8,0.4,0.2
placebo,pure morning,0.0,1.0,0.8,0.0,1.0,0.4
radiohead,i might be wrong,0.0,1.0,0.6,0.2,0.8,0.2
broken social scene,lover's spit,0.0,0.8,0.4,0.4,0.8,0.2
beirut,nantes,0.0,0.8,0.6,1.0,0.2,0.0
